iter,version,params,episodes,mean_rewards,total_run_time,epsilon
250,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v0'}",100,21.1,0.09548687934875488,0.0
251,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v1'}",100,17.16,0.0886540412902832,0.0
252,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v0'}",100,36.31,0.12083601951599121,0.0
253,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v1'}",100,21.05,0.09569096565246582,0.0
254,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v0'}",100,23.47,0.09927201271057129,0.0
255,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v1'}",100,23.15,0.10595893859863281,0.0
256,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,32.84,38.21823167800903,1.916246048422115e-12
257,v1,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,52.1,44.85037279129028,1.916246048422115e-12
258,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",68718,195.74,61.413557052612305,0.3128300000020883
259,v1,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",100000,327.35,169.45548486709595,1.916246048422115e-12
260,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",58696,196.8,49.57046556472778,0.41305000000218856
261,v1,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",81498,475.96,136.04419565200806,0.18503000000196052
262,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",59956,195.86,53.444194078445435,0.40045000000217595
263,v1,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",82240,476.12,139.96344184875488,0.1776100000019531
264,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,70.09,5.608372211456299,9.381755897326649e-14
265,v1,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,19.51,3.7579801082611084,9.381755897326649e-14
266,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,30.89,4.045024633407593,9.381755897326649e-14
267,v1,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,43.93,4.326573371887207,9.381755897326649e-14
268,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",10000,122.48,10.795233964920044,9.381755897326649e-14
269,v1,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",10000,118.04,10.79785704612732,9.381755897326649e-14
270,v0,"{'discount_factor_g': 0.9400000000000001, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",10000,172.01,12.171863794326782,9.381755897326649e-14
