iter,version,params,episodes,mean_rewards,total_run_time,epsilon
541,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v1'}",100,28.35,0.13521385192871094,0.0
542,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v0'}",100,18.61,0.12853693962097168,0.0
543,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v1'}",100,17.82,0.12164163589477539,0.0
544,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,67.34,62.65302300453186,1.916246048422115e-12
545,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,52.37,55.742268085479736,1.916246048422115e-12
546,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",65447,195.17,64.06110668182373,0.34554000000212104
547,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",100000,266.88,180.65648651123047,1.916246048422115e-12
548,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",64204,196.31,67.37464952468872,0.35797000000213347
549,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",91717,475.48,174.44247889518738,0.08284000000191682
550,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",62356,195.15,62.29343056678772,0.37645000000215195
551,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",79676,475.5,134.03768348693848,0.20325000000197874
552,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,61.02,5.504486799240112,9.381755897326649e-14
553,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,73.26,6.41288948059082,9.381755897326649e-14
554,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,47.5,5.203862190246582,9.381755897326649e-14
555,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,69.28,6.718584775924683,9.381755897326649e-14
556,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",7721,196.83,7.865863561630249,0.22800000000008502
557,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",9420,479.23,12.237955331802368,0.05810000000009445
558,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",7399,196.32,8.194416761398315,0.2602000000000815
559,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v1'}",9555,525.26,16.244222164154053,0.044600000000094064
560,v0,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v0'}",1000,32.83,0.5380949974060059,0.0
561,v1,"{'discount_factor_g': 0.98, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v1'}",1000,46.0,0.5541238784790039,0.0
